text,label,lang
️️️️️️️️️️امشو القياده يا ناس دايريين يشيلو الاعتصام بل قوا امشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناسامشو القياده يا ناس اعتصامالقياةالعامة,0,ar
⚘أشتاق لأنفاسك وعطرك ومبْسَمْك وأوله على أحضانك ونظرة عيونك يا علّني يا قبلة الروح ما أعدمْك فآنا حياتي وش تساوي بدونك ⚘ url,0,ar
••اللهم بلّغنا رمضان بلاغًا ترضى به عنّا و تقبلهُ منّا ، يا حيُّ يا قيّوم ••,0,ar
١٩ ابريل وُلدت في مثل هذا اليوم أعظم و أجمل امرأة في العالم، سوف تبقينّ سيدةُ النساءُ و ستبقينّ أجملهم يا أمي، سنَـين الهـنا يا ضُـوى هالعيِـن ونظـرهـا ♡,0,ar
يوسف يا شكرى يا محترم يابن الاصول حبيبى يا صاحبى ️️,0,ar
يلا يا ميرنا يلا يا ميرنا كل سنة و انتي طيبة يا نادية يا قمر,0,ar
يلا يا عسل يا سكر يا قمر جاوب معايا السؤال دا و انا هدعيلك دعوة حلوة,0,ar
يعني نهبط عشانكم يا جحلط يا معاتيه ابو اللي علمكم كورة يبغانا نعطيه ثلاث نقاط الترشيحي خلاص لا تصيح بقي شوي صياح لكاس الملك,0,ar
يسعد صباحك يا غالي يا محترم يا متربي يا مرجلة ️,0,ar
يخسر مباراة يخسر بطولة لا يخسر الاسم لا يخسر المكانه لا يخسر الجمهور لا يخسر التقدير و الاحترام ستبقي ملكا و ان خسرت دمت لنا فخر يا اعظم كيان يا اهلي ️️,0,ar
يامضاوي كن مالك على الدنيا شبيهوكن تغريدتك تدوي ب خفاقي دوييا الحلا يا الذوق يا الزين يا العرض النزيهياشبيهت خيل عبدالعزيز…,0,ar
يالطيف اللهم يا كامل اللطف يا خفى اللطف تداركنى بلطفك الخفى والظاهر الذى من تلطف به كفاه يالطيف يالطيف يالطيف يالطيف يالطيف ي…,0,ar
ياشقى هـ القلب ياسر السعادهيا دواء هـ الروح ياعطر الزهــريا عسل يا مـلح يا ســـكر زيادهيا سنين العـمر مرت في شـهر سعد…,0,ar
يارب يا كريم يا حي يا قيومإنا ندعوك بأحب الأسماء إليگاللهم اشف مرضانا و رد غائبناوبلغنا وإياهم رمضان ونحن وهمفي أتم…,0,ar
يارب يا عزيز يا جبار يا قادر يا مقتدر يا كريم يا عظيم يا حنان يا منان يا ذا الجلال والإكرام أنصر الزمالك اليوم علي فريق…,0,ar
يارب برحمتك استغيث أغثني يا جبار السموات والارض يا ألله,0,ar
يااللهرمضان هلّ هلاله فاستبشر يا عالموصفقي يا أيام وابتهجي يا نفوسوانتهجي سبل الهدىحياك الله يا رمضا…,0,ar
يااا عمري عالفخامة انااااا يارب يا كريم يالله يا قادر يا مقتدر يا عظيم ان ثليجة ما تخرب علينا هالفيلم والله يسامح بريانكا بس  url,0,ar
يا هيه يا إيمار  وش ذكرك حبن طوته الليالي حبٍ مضى مابين قلبي وبينك جيته مسافة ٢٠٠ كيلو عشان اشوفه في اعتزال يوسف الثنيان الهلال مع فالينسيا,0,ar
يا هي على قلبي مطر يا هي سماء يا هي بحر تسقي جروحي اليابسة ، و تجبر من أضلاعي كسر️,0,ar
يا هناي و ياعزوتي يا مصدر فرحتي يا اغلى رجل حطني القدر بنته url,0,ar
يا هــــيامي يا غـــــرامي يا مــــرامي كــان قــلبي لي ولعــيونك هــديته كـل ما تحـــــلم عــــــيوني قـلت نـامي كـل حــلمٍ في حــــياتي بك لـقــيـته ️️,0,ar
يا نور فَجري يا قلبي البعيد,0,ar
يا نور عيني وأنت صبحي وظلماي يا فرحتي يا سلوتي يا ضحايهيا معذّبي بالحب يا قدوة اهداي يا روح روحي يا رجاي وعمايه,0,ar
يا نعمه من الله يا قطعه من قلبي,0,ar
يا نعمتي بالهدنيا، يا اجمل من عرفت,0,ar
يا نجمي المضيء يا قمري الوحيد,0,ar
يا نجف بنور يا سيد العرسان مبروك يا حبايبنا والله ربنا يتمملكم بخير,0,ar
يا ناسي يا كوني و هَلي … خميسكم فلة و مشاهدة ممتعة لكم من حفل الكويت في فندق الميلينيوم محمدعساف url…,0,ar
يا موطني يا الاتحاد ،، هذا العميد نادي الوطن  النصرالاتحاد,0,ar
يا مهون المشاوير يا مقرب البعيد وصلنا بالسلامة وجمعنا من جديد مسافر إلى مطار القاهرة الدولي من مطار الملك خالد الدولي url,0,ar
يا من احب يا علا يا عمري اهرب الى عينيك بلا يقين بحبك كثير انا لو تعرفي قديش بحبك اخ يا روحي اخ اخ انت بس بقلبي يا عمري يا علا الله يسعد لي اياك,0,ar
يا مكثر غيابك و يا قل صبريعليك يا من صرت في الحب جبّار,0,ar
يا مصطفىيا «مصطفى«، يا كتاباً من كل قلب تألفْويازماناً سيأتي يمحو الزمان المزيفْنتمنى من الاخوة التعليق بابيا…,0,ar
يا مساء الشوق يا بسمة حياتييا مسـاء الــورد يا روح المـحـــبهيا مسـاء الخــير يا كُل امنيــاتييامســاء الحـــب يا وج…,0,ar
يا مساء الأنوار يا ام محمودكيف الأجواء عندكم في مصر,0,ar
يا مرحبا بك يا رفيع المقاميعزالله انك جرح قلبي وطبههاجوس المري,0,ar
يا لُطْفَك يا الله يا كَرَمٍَك يا اللهيا حُبك يا الله يا سَنْد يا اللهيا مَولاي,0,ar
يا لطيف يا لطيف يا لطيف يا لطيف,0,ar
يا كل روحيّ يا أكثر أشيائي حباً,0,ar
يا كبره بقلبي و يا كثره بباليكان ما خلق الله بدنيتي غيره,0,ar
يا قلبي يا قلبي يا روحي وحلوين حلوين فرحتك بالصدارة اللي ما اخذت يومارجع لـ جحـرككككككك  url,0,ar
يا قصايد سلمّان ، وكتابات البدر ، يا شُوق شيرين ، يا أغاني راشد,0,ar
يا غيمة قلبي يا سيّدة الحُب,0,ar
يوم الاثنين ليس كفايه حضور جمهور كبير انا أريدها تفجير يا الفوز والنصر يا محد يخرج من الجوهرة…,0,ar
قرّبنا يا محجوبقرّبنا يا عظمة url,0,ar
غردي بحسابك اذا كان فيه اعلى من ١٠ متابعين لانه بينحسب تصويت لبانقتان في البيلبيورد اذا ماعندك ١٠متابعين قولي للارمي يتابعونك كل الي عليك انك يا تسوي رتويت يا انك تنسخ هالتغريدة i just voted for bts for bbmastopsocial,0,ar
عن أنس كنت مع النَّبي عليه السلام فدَعَا رجلٌ فقال يا بديع السماوات يا حيُّ يا قيُّوم إني أسألك فقال أتدرُون بما دعا؟ والذي نفسي بيده دَعَا الله باسمه الذي إذا دُعِيَ به أجاب,0,ar
ربنا يخليكي لي يا لومي يا قمر إنتي,0,ar
حسبي الله عليك يا شرير يا عىد المال — ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه url,0,ar
أهـون أعيش ب حلم لو هو خياليوأقـول يا ربـي وﻻ أقـول يا فـلان,0,ar
يّا ضحكة طلال يا حب البدر يا حنّية مجييد يا عزف عبادي يا شيء عظيم عجزت أوصفه صباحالاثنين,0,ar
يا ود انت يا عكليت بقيت زى حميدتى عارف نفسة مرفوض بقا كل يوم طالع بهجمة مرتدة لصالح الجماهير وتصيب هدفها بدأ يجد من يدافع له ماشة معاهو باسطة حرامي الحميرمش حاجه تحيرالكيزان دايرين يضحكوا علينا تاني,0,ar
يا لبناني يا فضلات الاستعمار الفرنسي اللبنانيين بالخليج يشغلون نسوانهم عاهرات,1,ar
يا مجرم يا خبيث أنت وأمثالك يا قذر عميل لليهود كافة، وللنظام الاجرام بقطر الذي يستخدمك وأمثالك لمخططاتهم الاحرام يستشري في دمائكم,1,ar
لعنت الله عليك يا شارب بول البعير يا عبد امريكا ،،، اذهب ابحث عن أفريقي,1,ar
بس يا إماراتي يا شاذ جنسيا أموالكم من بيوت الدعارة والنجاسة,1,ar
كل قطر الإرهابية أخذهم الله أخذ عزيز مقتدر كلاب ولاد كلب خرفان انتوا مالكم ومال مصر ياخنازير يا شياطين الإنس والجن أنتم جزم يا قطر يا عبيد لإسرائيل وتركيا وإيران كلكم مخنثين مثليين ومن قوم لوط زى تميم الكلب إبن الكلب أخذكم الله أخذ عزيز م,1,ar
عليكي لعنه الله ي يهوديه يا خبيثه يا عدوه الاسلام اسال الله ان يعجل في هلكيك ي فاسده,1,ar
حزب الله راعبكم يا كلاب الحكيم ودعس اكبر راس فيكم يا صراصير يا عملاء يا خونه على الاقل ايران دوله مسلمه وتدافع عن فلسطين وتساعد على محاربة دواعشكم وارهابكم وتحارب امريكا ومرتزقة ربع المنشار وهي دوله حره سب,1,ar
الصهاينة انتم يا خونة يا قتلة الأطفال ومخربين لم تتركوا بلد الا وخربتموه بمعية المرتزقة لعنة الله عليكم يا زنادقة انا اعيش في الجزائر  ولا حاجة لي في مالكم القذر,1,ar
أنتم يا خونه خدامين الصهيونية و الماسونية العالمية ويستخدمونكم فى تدمير الأوطان وتدمير الإنسانيةيا عبيد المال والنساء يا خوارج يا خرفان يا ولاد جهاد النكاح,1,ar
يا عبرية يا ايتها العاهرة فكي أسر مرتزقة حفتر ثم ادعي هذا الكذب,1,ar
هذا ذنب مصر يا تركيا يا أوسخ البشر أنتم وقطر الوسخه وإيران الزبالة يا عبيد لإسرائيل أخذكم الله أخذ عزيز مقتدر يااااااااااااااااااااااااااااااارب العالمين آمين,1,ar
انيك عارك يا بنت الحرام يا كذابة يا بنت الزنوة,1,ar
الكردي ما هذه العنصرية البغيضة يا مزورين يا كارهي دين الله يا عبيد اتاتورك,1,ar
أنت وامثالك وحكامك وعلمائك الزنادقه خنازير دمرتم ومزقتم دول جوار بتحشيد الاف الارهابيين دواعش ومليشيات جنجويل الاجراميه وإرسالهم لقتل اطفال اليمن والعراق وسوريا انتم ابوالاٍرهاب الله يمحيكم من الارض يا سعوديه يا قتله المسلمين يا مجرمين يامنافقين ياجبناء ياغدارين كذابين لعنكم الله url,1,ar
يا كلب الصهاينة يا عميل الفرس أنت عبد من عبيد نعال الحكام الظلمة و القتلة، أنت لا تساوي ذرة رمل في شسع نعال الرجال يا أقذر خلق الله يا وقح,1,ar
واقسم بالله تجى السودان نضربك بالشباشب ونقلعك عارى لاخذ حق اليتامى والفقراء يا شحات يا فاسق دولارات مافى وكل فلس سرقتوا من السودان ستطفحه من دمك ودم اسرتك يا ماكلين فلوس الحرام والسحت لعنك الله,1,ar
هههههههه انتم من سترضخون صاغرين الى تميم المجد وأردوغان يا عبيد امريكا يا ملاعين يا عملاء إسرائيل يا قاتلين الأطفال في اليمن وليبيا,1,ar
كس أمك يا حرامي يا تافه، حزين على الكيزان لأن لحم أكتافك من الأموال التي سرقوها من حر مال الشعب السوداني، قذر و تافه و حقير و ليس في وجهك مزعة لحم، الإسلام بريء منك و من الكيزان و كس أمك انت و اي كوز يا لوطي يا ابن الشرموطة,1,ar
محروق من فخر العرب يا ملحد يا بتاع ميسي اليهودي,1,ar
اسكت يا خروف سيساوي يا صهيوني يا عملاء لسرائيل,1,ar
الله يلعنكم يا شياطين الإنس والجن يا فاسدين يا فاشلين يا ولاد الكلب عشان تصدقوا إن الظلم لا يدوم وإن دام دمر فاهمين ربنا ينتقم منكم كلكم يااااااااااااااااااااااااااااااارب,1,ar
الأسرئليين هما إلي خلو البطاطس المحمرة تقرمش قول بقي أنك مش مصدق يا معادي للسامية يا عنصري يا أرهابي يا نازي يا ابن الكلب,1,ar
يا خوارج يا ارهابيين يا منبع اليهود,1,ar
يا أما أنت غبي يا أما أنك تتغبى ، الإسلام بريء منك ومن أمثالك هذا إذا كنت مسلم وغيرت دينك للهندوسية,1,ar
ليش متاكل خرة انتة وعمر ابن الصهال ابن البغايا اشد غيرة من رسول الله صل الله عليه واله وسلم يا قذارة البشر يا يهود الأمة لعنك الله ولعن دينكم القذر ولعنت الله عمر ابن الصهاك يا وابو بقر,1,ar
تي بري يا ساقطة يا حقالة نظفي روحك من عفن الكيش وعمارات البول وبعدين تعلمي تحكي خليك في خمندج بنغازي ولا برقة يا دعشية يا حمارة يالي جاية تحكي في اللي ما ايخصك لمة تدمر العاصمة ادمرت ليبيا بي الكامل معادش يقعد عندك وطن علي المستوي الااقليمي,1,ar
يا كلب اليهود يا قطري يا فاسد والله حندزوللك عمالكم في توابيت ليبيا ترابها حامي شوف سيدك غضيب الوالدين زوج العاهرة موزه وهو يصافح في الإسرائيليين وتطبق في سياسه الصهاينه مصيرهم اسود,1,ar
ملكش دعوة يا قزعة يا بارد يا حقود خليك في الزريبة اللي انت منها وبتشجعها,1,ar
الى جهنم يا اعداء الاسلام يا خونه يا عملاء يا من ولاءكم للعجم وايران,1,ar
خلص بلدك من القمامه يا قمامه يا مخلفات المستعمر يا من تتحكم فيكم ايران المتخلفه وبعدها تعال وجب معك اختك ونعطيك رأينا,1,ar
الماركسية لا تتلاعب بكس امك ولا ظراط كله تخريف وتفاهة سفك الدماء تلك حطها بطيزك انت لا تعرف شي اذا انطم وتعال مص زبي وانت ساكت يا مخنث وبعدين روح نيك نفسك بالزب الصناعي يا مفلس يا جاهل مركب يا بهيمه وردودك التافه هذه اكتبها في ورق,1,ar
لعنة الله عليكي من اليوم إلى يوم القيامة يا كلبه يا مجرمه يا عاهره تعالي اجيب زب سوداني ينعثر المحبله حقكلإن زوجك مخنوث لوهو رجال مانتي من جهه إلى جهه,1,ar
بالله عليك يا انتهازى يا حقير ابتعد عن السودان وشعبه,1,ar
كل زق يا خنيث يا جرار يا نيفيا يا ابن القحبه,1,ar
لاتبوس رأسه بوس رجله بوس رجله ياواطي يا عبد يا صيادي لعنة الله عليك وعلى روحك الخبيثه يلي ما معاك عرض ولا شرف تسمح الغازي يدخل بلادك با الأمس انتو مع الزعيم واليوم مع الغازي سيسجل لك التاريخ ابشع ماقمت به وستنفي من البلد وهويتك ايضا عما,1,ar
ان الناس بتموت بس بتروح التصويت مش زيكوا يا اعداء الوطن يا خونة,1,ar
يا لاعقي الاحذية يا اذناب الصهيونية يا خدام ترامب ونتنياهو ان حذاء مقاوم اطهر من اطهركمالمملكةالصهيونيةالالعنةا…,1,ar
كل زق يا جاحد يا عدو الاومقا فيرس و الجمال,1,ar
يا نعلي يا حضي لسود,1,ar
علي شحم يا طاقية يا عنصري القم بس,1,ar
يا ملحدين يا كفره الحاد كده مش شفت قبل كده,1,ar
يا واطي يا ابن الواطي عاملين أسود على شعوبكم يا زباله url,1,ar
هيدا الأصبع الواحد حطوا بقفاك يا بلا أخلاق يا مربى الشوارع تفه على هيك تربية زقاقية,1,ar
و ايه فرقة السحالي دي هو يا محشي يا سحالي يارب مفيش وسط,1,ar
بومبر يا اوساخ يا عنصريين بومبر,1,ar
ترى ماهو بشطارتك فزت يا فار يا مرتشي يا حرامي البطولات,1,ar
تبا لك يا الشيطان الاكبر يا اميركا يا صهيونية هلا بالك بمكافاة ملايين الدولارات لكل من يقدم خبر عن مقاومة حزبالله وما…,1,ar
يا راشد يا مقرف يا جبان للأسف هذه تسمى خسة من شخص أحمق,1,ar
يا زنجي يا بن الوسخة يا عبد,1,ar
يا حمار شرقييا منحرف ان كنا ناكل القات فانتم تتعاطون المخدرات يا منحرفين,1,ar
رشاده تدمغك يا متخلف يا خرف انت وقناتك المأجوره,1,ar
وانت يا بغل يا ابن البغل مال امك ومال مصر ؟ انت من قطيع الخرفان والخونة والماجورين اللي مش وراهم الا تدمير وخراب البلاد والعباد,1,ar
“jeg er folketinget”,0,da
“hvad skal du de næste år” “åh tror jeg skal spise guldkarameller og lave en tennisbold af papiret” dedikeret,0,da
ಥಥ det er smukt,0,da
øhh sagde han ikke lige at vi var blevet gode venner med sverige igen er der et memo jeg ikke har fået,0,da
öhm um was geht's hier ein upvote gibt's trotzdem ich mochte schon immer die dänische flagge,0,da
ældste nationalflag men ok,0,da
ååh det er så flot meget pænere end normaltbilledet får mig til at overveje at flytte dertil,0,da
you know only one of those configurations actually works,0,da
wow jeg læste for hurtigt og fik det til 'kneb et får for fædrelandet' se det kunne have været interessant,0,da
why are we writing in english,0,da
vær stærk op tro på dig selv husk dit mål og vær stærk gør det for dig selv og gør det for dit barn,0,da
ville være passende hvis hun tog den straf så livstid for at ville ødelægge et helt liv,0,da
ville dog ønske at vi havde en ordentlig nationaldag med folkefest og fridag ligesom maj i norge,0,da
vil råde dig til at koge pasta rigtig næste gang,0,da
vil gerne lige påpege denne sandhed url,0,da
vi vil rejse os igen broder,0,da
vi takker vor allierede,0,da
